ASXCode,CompanyName,GICsIndustryGroup
SYA,Sayona Mining Limited,Materials
SYM,Symbio Holdings Limited,Telecommunication Services
SYN,Synergia Energy Ltd,Energy
SYR,Syrah Resources Limited,Materials
SYT,Syntonic Limited,Software & Services
SZL,Sezzle Inc.,Software & Services
T1G,Tiger Tasman Minerals Limited,Materials
T3D,333D Limited,Commercial & Professional Services
T3K,Tek-Ocean Group Limited,Energy
T88,Taiton Resources Limited,Materials
T92,Terra Uranium Limited,Energy
TAH,Tabcorp Holdings Limited,Consumer Services
TAM,Tanami Gold Nl,Materials
TAR,Taruga Minerals Limited,Materials
TAS,Tasman Resources Ltd,Materials
TBA,Tombola Gold Ltd,Materials
TBN,Tamboran Resources Limited,Energy
TBR,Tribune Resources Limited,Materials
TCF,360 Capital Enhanced Income Fund,Not Applic
TCG,Turaco Gold Limited,Materials
TCL,Transurban Group,Transportation
TCO,Transmetro Corporation Limited,Consumer Services
TD1,Tali Digital Limited,Health Care Equipment & Services
TDO,3D Oil Limited,Energy
TEE,Top End Energy Limited,Energy
TEG,Triangle Energy (Global) Limited,Energy
TEK,Thorney Technologies Ltd,Not Applic
TEM,Tempest Minerals Limited,Materials
TER,Terracom Limited,Energy
TFL,Tasfoods Limited,"Food, Beverage & Tobacco"
TG1,Techgen Metals Ltd,Materials
TG6,Tg Metals Limited,Materials
TGA,Thorn Group Limited,Retailing
TGF,Tribeca Global Natural Resources Limited,Not Applic
TGH,Terragen Holdings Limited,Materials
TGM,Theta Gold Mines Limited,Materials
TGN,Tungsten Mining Nl,Materials
TGP,360 Capital Group,Real Estate
TGR,Tassal Group Limited,"Food, Beverage & Tobacco"
THL,Tourism Holdings Rentals Limited,Transportation
THR,Thor Mining Plc,Materials
TI1,Tombador Iron Limited,Real Estate
TIA,Tian An Australia Limited,Real Estate
TIE,Tietto Minerals Limited,Materials
TIG,Tigers Realm Coal Limited,Materials
TIP,Teaminvest Private Group Limited,Diversified Financials
TKL,Traka Resources Limited,Materials
TKM,Trek Metals Limited,Materials
TLC,The Lottery Corporation Limited,Consumer Services
TLG,Talga Group Ltd,Materials
TLM,Talisman Mining Limited,Materials
TLS,Telstra Group Limited,Telecommunication Services
TLX,Telix Pharmaceuticals Limited,"Pharmaceuticals, Biotechnology & Life Sciences"
TMB,Tambourah Metals Ltd,Materials
TMG,Trigg Minerals Limited,Materials
TMH,The Market Herald Limited,Media & Entertainment
TMK,Tmk Energy Limited,Energy
TML,Timah Resources Limited,Utilities
TMR,Tempus Resources Ltd,Materials
TMS,Tennant Minerals Limited,Materials
TMT,Technology Metals Australia Limited,Materials
TMX,Terrain Minerals Limited,Materials
TMZ,Thomson Resources Limited,Materials
TNE,Technology One Limited,Software & Services
TNG,Tng Limited,Materials
TNT,Tesserent Limited,Software & Services
TNY,Tinybeans Group Ltd,Media & Entertainment
TOE,Toro Energy Limited,Energy
TON,Triton Minerals Ltd,Materials
TOP,Thorney Opportunities Ltd,Not Applic
TOR,Torque Metals Limited..,Materials
TOT,360 Capital Reit,Diversified Financials
TOU,Tlou Energy Limited,Energy
TOY,Toys'R'Us Anz Limited,Retailing
TPC,Tpc Consolidated Limited,Utilities
TPD,Talon Energy Ltd,Energy
TPG,Tpg Telecom Limited.,Telecommunication Services
TPO,Tian Poh Resources Limited,Materials
TPW,Temple & Webster Group Ltd,Retailing
TRA,Turners Automotive Group Limited,Retailing
TRE,Toubani Resources Inc.,Class Pend
TRJ,Trajan Group Holdings Limited,"Pharmaceuticals, Biotechnology & Life Sciences"
TRM,Truscott Mining Corporation Limited,Materials
TRP,Tissue Repair Ltd,"Pharmaceuticals, Biotechnology & Life Sciences"
TRS,The Reject Shop Limited,Retailing
TRT,Todd River Resources Limited,Materials
TRU,Truscreen Group Limited,Health Care Equipment & Services
TRY,Troy Resources Limited,Materials
TSC,Twenty Seven Co. Limited,Energy
TSI,Top Shelf International Holdings Ltd,"Food, Beverage & Tobacco"
TSK,Task Group Holdings Limited,Software & Services
TSL,Titanium Sands Limited,Materials
TSN,The Sustainable Nutrition Group Ltd,"Food, Beverage & Tobacco"
TSO,Tesoro Gold Ltd,Materials
TTA,Tta Holdings Limited,Retailing
TTB,Total Brain Limited,Health Care Equipment & Services
TTI,Traffic Technologies Ltd.,Transportation
TTM,Titan Minerals Limited,Materials
TTT,Titomic Limited,Materials
TUA,Tuas Limited,Telecommunication Services
TUL,Tulla Resources Plc,Materials
TVL,Touch Ventures Limited,Diversified Financials
TWD,Tamawood Limited,Consumer Durables & Apparel
TWE,Treasury Wine Estates Limited,"Food, Beverage & Tobacco"
TWR,Tower Limited,Insurance
TYM,Tymlez Group Limited,Software & Services
TYR,Tyro Payments Limited,Software & Services
TYX,Tyranna Resources Limited,Materials
TZL,Tz Limited,Technology Hardware & Equipment
TZN,Terramin Australia Limited.,Materials
UBI,Universal Biosensors Inc.,Health Care Equipment & Services
UBN,Urbanise.Com Limited,Software & Services
UCM,Uscom Limited,Health Care Equipment & Services
UMG,United Malt Group Limited,"Food, Beverage & Tobacco"
UNI,Universal Store Holdings Limited,Retailing
UOS,United Overseas Australia Limited,Real Estate
URF,Us Masters Residential Property Fund,Real Estate
URW,Unibail-Rodamco-Westfield,Real Estate
USQ,Us Student Housing Reit,Real Estate
UUL,Ultima United Limited,Real Estate
UVA,Uvre Limited,Materials
VAL,Valor Resources Limited,Materials
VAN,Vango Mining Limited,Materials
VAR,Variscan Mines Limited,Materials
VBC,Verbrec Limited,Capital Goods
VBS,Vectus Biosystems Limited,"Pharmaceuticals, Biotechnology & Life Sciences"
VCX,Vicinity Centres,Real Estate
VEA,Viva Energy Group Limited,Energy
VEE,Veem Ltd,Capital Goods
VEN,Vintage Energy Ltd,Energy
VG1,Vgi Partners Global Investments Limited,Not Applic
VG8,Vgi Partners Asian Investments Limited,Not Applic
VGL,Vista Group International Limited.,Software & Services
VHT,Volpara Health Technologies Limited,Health Care Equipment & Services
VIA,Viagold Rare Earth Resources Holdings Limited,Materials
VIG,Victor Group Holdings Limited,Software & Services
VIP,Vip Gloves Ltd,Health Care Equipment & Services
VKA,Viking Mines Limited,Materials
VLS,Vita Life Sciences Limited..,"Pharmaceuticals, Biotechnology & Life Sciences"
VMC,Venus Metals Corporation Limited,Materials
VMG,Vdm Group Limited,Capital Goods
VML,Vital Metals Limited,Materials
VMM,Viridis Mining And Minerals Limited,Materials
VMS,Venture Minerals Limited,Materials
VMT,Vmoto Limited,Automobiles & Components
VN8,Vonex Limited..,Telecommunication Services
VNT,Ventia Services Group Limited,Capital Goods
VOL,Victory Offices Limited,Real Estate
VPR,Volt Power Group Limited,Utilities
VR1,Vection Technologies Ltd,Software & Services
VR8,Vanadium Resources Limited,Materials
VRC,Volt Resources Limited,Materials
VRS,Veris Limited,Commercial & Professional Services
VRX,Vrx Silica Limited,Materials
VSL,Vulcan Steel Limited,Materials
VSR,Voltaic Strategic Resources Ltd,Energy
VTG,Vita Group Limited,Retailing
VTI,Visioneering Technologies Inc.,Health Care Equipment & Services
VTX,Vertex Minerals Limited,Materials
VUK,Virgin Money Uk Plc,Banks
VUL,Vulcan Energy Resources Limited,Materials
VVA,Viva Leisure Limited,Consumer Services
VYS,Vysarn Limited,Materials
W2V,Way 2 Vat Ltd.,Software & Services
WA1,Wa1 Resources Ltd,Materials
WAA,Wam Active Limited,Not Applic
WAF,West African Resources Limited,Materials
WAK,Wa Kaolin Limited,Materials
WAM,Wam Capital Limited,Not Applic
WAR,Wam Strategic Value Limited,Not Applic
WAT,Waterco Limited,Consumer Durables & Apparel
WAX,Wam Research Limited,Not Applic
WBC,Westpac Banking Corporation,Banks
WBE,Whitebark Energy Ltd,Energy
WBT,Weebit Nano Ltd,Technology Hardware & Equipment
WC1,West Cobar Metals Limited,Materials
WC8,Wildcat Resources Limited,Materials
WCG,Webcentral Ltd,Software & Services
WCN,White Cliff Minerals Limited,Materials
WDS,Woodside Energy Group Ltd,Energy
WEB,Webjet Limited,Retailing
WEC,White Energy Company Limited,Energy
WEL,Winchester Energy Ltd,Energy
WES,Wesfarmers Limited,Retailing
WFL,Wellfully Limited,"Pharmaceuticals, Biotechnology & Life Sciences"
WGB,Wam Global Limited,Not Applic
WGN,Wagners Holding Company Limited,Materials
WGO,Warrego Energy Limited,Energy
WGR,Western Gold Resources Limited.,Materials
WGX,Westgold Resources Limited.,Materials
WHC,Whitehaven Coal Limited,Energy
WHF,Whitefield Industrials Limited,Not Applic
WHK,Whitehawk Limited,Retailing
WIA,Wia Gold Limited,Materials
WIN,Widgie Nickel Limited,Materials
WKT,Walkabout Resources Ltd,Materials
WKTN,Walkabout Resources Ltd,Materials
WLD,Wellard Limited,"Food, Beverage & Tobacco"
WLE,Wam Leaders Limited,Not Applic
WLS,Wcm Global Long Short Limited,Not Applic
WMA,Wam Alternative Assets Limited,Not Applic
WMC,Wiluna Mining Corporation Limited.,Materials
WMG,Western Mines Group Ltd,Materials
WMI,Wam Microcap Limited,Not Applic
WML,Woomera Mining Limited,Materials
WMLN,Woomera Mining Limited,Materials
WNR,Wingara Ag Ltd,"Food, Beverage & Tobacco"
WNX,Wellnex Life Limited,"Food, Beverage & Tobacco"
WOA,Wide Open Agriculture Ltd,"Food, Beverage & Tobacco"
WOO,Wooboard Technologies Limited,Software & Services
WOR,Worley Limited,Energy
WOT,Wotso Property,Real Estate
WOW,Woolworths Group Limited,Food & Staples Retailing
WPR,Waypoint Reit,Real Estate
WQG,Wcm Global Growth Limited,Not Applic
WR1,Winsome Resources Limited,Materials
WRK,Wrkr Ltd,Software & Services
WRM,White Rock Minerals Limited,Materials
WSI,Weststar Industrial Limited,Materials
WSP,Whispir Limited,Software & Services
WSR,Westar Resources Limited,Materials
WTC,Wisetech Global Limited,Software & Services
WTL,Wt Financial Group Limited,Diversified Financials
WTN,Winton Land Limited,Real Estate
WWG,Wiseway Group Limited,Transportation
WWI,West Wits Mining Limited,Materials
WYX,Western Yilgarn Nl,Materials
WZR,Wisr Limited,Diversified Financials
X2M,X2M Connect Limited,Technology Hardware & Equipment
X64,Ten Sixty Four Limited,Materials
XAM,Xanadu Mines Ltd,Materials
XF1,Xref Limited,Software & Services
XPN,Xpon Technologies Group Limited,Software & Services
XRF,Xrf Scientific Limited,Capital Goods
XRG,Xreality Group Ltd,Consumer Services
XRO,Xero Limited,Software & Services
XST,Xstate Resources Limited,Energy
XTC,Xantippe Resources Limited,Materials
XTE,Xtek Limited.,Capital Goods
YAL,Yancoal Australia Limited,Energy
YBR,Yellow Brick Road Holdings Limited,Banks
YOJ,Yojee Limited,Software & Services
YOW,Yowie Group Ltd,"Food, Beverage & Tobacco"
YPB,Ypb Group Ltd,Commercial & Professional Services
YRL,Yandal Resources Limited,Materials
Z2U,Zoom2U Technologies Limited,Software & Services
ZAG,Zuleika Gold Limited,Materials
ZEO,Zeotech Limited,Materials
ZER,Zeta Resources Limited,Not Applic
ZEU,Zeus Resources Limited,Energy
ZGL,Zicom Group Limited,Capital Goods
ZIM,Zimplats Holdings Limited,Materials
ZIP,Zip Co Limited..,Diversified Financials
ZLD,Zelira Therapeutics Limited,"Pharmaceuticals, Biotechnology & Life Sciences"
ZMI,Zinc Of Ireland Nl,Materials
ZMM,Zimi Limited,Technology Hardware & Equipment
ZNC,Zenith Minerals Limited,Materials
ZNO,Zoono Group Limited,Materials
